Category,Type,Content,Notes
Number-Driven,Script,"€40,000 al mes en rentas pasivas... y esto es solo el comienzo.",Hook
Number-Driven,Bridge,"Hace 5 años era empleado como tú. Hoy mis propiedades trabajan para mí mientras duermo.",Bridge
Number-Driven,Course Info,"En mi Curso de Inversión Inmobiliaria te enseño el método exacto que uso para construir un patrimonio indestructible. Sin fórmulas mágicas, solo estrategias probadas que funcionan en el mercado español.",Course Info
Number-Driven,CTA,"Únete ahora y empieza tu camino hacia la libertad financiera. Plazas limitadas.",CTA
Number-Driven,Script,"De 0 a 10 propiedades en 4 años. Sin dinero inicial propio.",Hook
Number-Driven,Bridge,"¿Imposible? Eso pensaba yo también. Hasta que descubrí estas estrategias.",Bridge
Number-Driven,Course Info,"Mi curso te revela cómo usar el apalancamiento inteligente, encontrar propiedades infravaloradas y negociar como un profesional.",Course Info
Number-Driven,CTA,"Empieza hoy mismo. Tu futuro financiero no puede esperar.",CTA
Number-Driven,Script,"3 errores que te cuestan €100,000 en tu primera inversión inmobiliaria.",Hook
Number-Driven,Bridge,"Yo los cometí todos. Tú no tienes por qué.",Bridge
Number-Driven,Course Info,"En mi Curso de Inversión Inmobiliaria aprenderás a evitar las trampas más costosas del sector.",Course Info
Number-Driven,CTA,"Protege tu inversión. Accede al curso ahora.",CTA
Number-Driven,Script,"€500 de inversión inicial pueden generar €2,000 mensuales. Te muestro cómo.",Hook
Number-Driven,Bridge,"No necesitas ser rico para empezar. Solo necesitas saber cómo hacerlo.",Bridge
Number-Driven,Course Info,"Mi método te enseña a maximizar el retorno con mínima inversión inicial.",Course Info
Number-Driven,CTA,"Multiplica tu dinero. Únete al curso hoy.",CTA
Number-Driven,Script,"7 propiedades que compré sin dinero propio. Aquí está la estrategia.",Hook
Number-Driven,Bridge,"Cuando no tienes capital, necesitas creatividad y conocimiento.",Bridge
Number-Driven,Course Info,"Te enseño las técnicas de financiación que los bancos no publicitan y cómo estructurar operaciones win-win.",Course Info
Number-Driven,CTA,"Descubre estos secretos. Accede ahora al curso.",CTA
Transformation,Script,"Dejé mi trabajo hace 3 años. Hoy gano el triple trabajando 2 horas al día.",Hook
Transformation,Bridge,"La inversión inmobiliaria me dio la libertad que siempre busqué.",Bridge
Transformation,Course Info,"En mi Curso de Inversión Inmobiliaria te muestro cómo construir ingresos pasivos reales.",Course Info
Transformation,CTA,"Tu libertad está a un clic. Empieza ahora.",CTA
Transformation,Script,"De empleado frustrado a inversor inmobiliario exitoso en 18 meses.",Hook
Transformation,Bridge,"Si yo pude hacerlo trabajando 8 horas diarias, tú también puedes.",Bridge
Transformation,Course Info,"Mi curso está diseñado para personas ocupadas que quieren cambiar su futuro financiero.",Course Info
Transformation,CTA,"Transforma tu vida. Únete al curso hoy.",CTA
Transformation,Script,"Cómo pasé de alquilar un piso a ser propietario de 30 inmuebles.",Hook
Transformation,Bridge,"Todo empezó con una decisión y la estrategia correcta.",Bridge
Transformation,Course Info,"Te guío desde tu primera compra hasta construir un imperio inmobiliario.",Course Info
Transformation,CTA,"Empieza tu imperio inmobiliario. Accede ahora.",CTA
Transformation,Script,"Mi primer inmueble: un estudio de 40m². Mi portfolio actual: 30 propiedades.",Hook
Transformation,Bridge,"La diferencia no fue suerte. Fue aplicar el sistema correcto.",Bridge
Transformation,Course Info,"En mi curso aprenderás la progresión exacta desde tu primera inversión hasta un portfolio diversificado.",Course Info
Transformation,CTA,"Construye tu portfolio. Empieza el curso hoy.",CTA
Transformation,Script,"De vivir al día a vivir de rentas. El cambio que transformó mi vida.",Hook
Transformation,Bridge,"Pasé de contar céntimos a que el dinero trabaje para mí.",Bridge
Transformation,Course Info,"Mi Curso de Inversión Inmobiliaria te enseña a crear múltiples fuentes de ingresos pasivos.",Course Info
Transformation,CTA,"Cambia tu realidad financiera. Únete ahora.",CTA
Curiosity & Intrigue,Script,"El secreto que los bancos no quieren que sepas sobre financiación inmobiliaria.",Hook
Curiosity & Intrigue,Bridge,"Cuando lo descubrí, cambió completamente mi forma de invertir.",Bridge
Curiosity & Intrigue,Course Info,"En mi curso revelo las estrategias de financiación que realmente funcionan.",Course Info
Curiosity & Intrigue,CTA,"Descubre estos secretos. Accede al curso ahora.",CTA
Curiosity & Intrigue,Script,"Por qué los ricos compran inmuebles y los pobres ahorran en el banco.",Hook
Curiosity & Intrigue,Bridge,"La diferencia está en entender cómo funciona realmente el dinero.",Bridge
Curiosity & Intrigue,Course Info,"Mi curso te enseña la mentalidad y estrategias de los inversores exitosos.",Course Info
Curiosity & Intrigue,CTA,"Piensa como los ricos. Únete al curso.",CTA
Curiosity & Intrigue,Script,"Lo que aprendí perdiendo €50,000 en mi primera inversión inmobiliaria.",Hook
Curiosity & Intrigue,Bridge,"Fue la lección más cara y más valiosa de mi vida.",Bridge
Curiosity & Intrigue,Course Info,"En mi curso comparto todos mis errores para que tú no los cometas.",Course Info
Curiosity & Intrigue,CTA,"Aprende de mis errores. Accede al curso ahora.",CTA
Curiosity & Intrigue,Script,"El método que me permitió jubilarme a los 35 años.",Hook
Curiosity & Intrigue,Bridge,"No fue suerte ni herencia. Fue un plan ejecutado sistemáticamente.",Bridge
Curiosity & Intrigue,Course Info,"Te enseño el sistema exacto para alcanzar la independencia financiera a través de inmuebles.",Course Info
Curiosity & Intrigue,CTA,"Jubílate joven. Empieza el curso ahora.",CTA
Curiosity & Intrigue,Script,"¿Por qué trabajo 2 horas al día y gano más que antes?",Hook
