Hook Text,Category,Filming Instructions
"Tu problema no es el mercado. Es la forma en la que estás invirtiendo.",Problem-Solution,"Guille opens laptop showing property listings, crosses out prices with red marker, then reveals strategy document."
"Invertiste bien... según tu cuñado. Por eso no ves ni 1.000€/mes.",Problem-Solution,"Guille on phone call, nods while family member talks, then shows disappointed bank account on phone."
"Sabes que, yo también me sentía atrapado... hasta que aprendí a hacer que una propiedad trabaje por mí.",Transformation,"Guille starts stressed in office chair, then transitions to relaxed pose checking rental income on phone."
"No necesitas ser rico para invertir bien. Solo necesitas dejar de seguir consejos malos.",Problem-Solution,"Guille throws away financial advice books, replaces with simple strategy document."
"Necesitas 5 propiedades para llegar a 7.800€/mes. Cuando yo lo hago con una sola.",Number-Driven,"Guille shows 5 property keys in one hand, then single key in other with same income number."
"Yo también pensaba que necesitaba 5 pisos para vivir bien. Hasta que comencé a aplicar esto en mi propiedad.",Transformation,"Guille looks overwhelmed holding 5 keys, then relaxed with single key."
"Si estas por comprar tu primer piso, necesitas ver esto. Podrías estar tirando el dinero.",Urgency,"Guille about to sign contract, stops and points to camera."
"Tu primer piso puede ayudarte a crecer y pagarte la vida entera... Solo si sigues estos consejos",Educational,"Guille holds single property key that transforms into multiple keys and cash."
"El error número uno que comete la mayoría al invertir en su primer piso... es pensar que con uno no pueden vivir de ello.",Problem-Solution,"Guille dismisses single property, then reveals it generates full income."
"Últimamente, mi parte favorita de invertir es esto: hacer que una sola propiedad pague más que cinco alquiladas mal.",Number-Driven,"Guille shows comparison: 5 properties with low income vs 1 property with high income."
"Ah, y hay algo más que casi se me olvida contarte: tu cuñado no es tu asesor financiero.",Problem-Solution,"Guille mimics family member giving advice, then crosses them out."
"El mayor error que cometí al empezar fue seguir consejos de gente que nunca ha invertido.",Problem-Solution,"Guille listens to multiple voices giving conflicting advice, then shows strategy document."
"Escucha: si te preocupa perder dinero con tu primer piso... acuérdate de esto: el problema no es el mercado. Es cómo lo haces.",Problem-Solution,"Guille worried about market charts, then reveals strategy document."
"Seguro que todos han comprado su primer piso con ilusión... pero ¿alguna vez han tenido uno que literalmente te paga la vida entera?",Aspirational,"Guille holds property key that transforms into lifestyle freedom symbols."
"Yo también pensaba que hacía falta ser rico para invertir... hasta que entendí que una propiedad bien ejecutada vence a cualquier alquiler tradicional.",Transformation,"Guille thinks about money bags, then reveals strategy beats traditional rental."
"Invertiste bien... según tu entorno. Pero si no te da ni 1.000 €/mes, algo no está funcionando.",Problem-Solution,"Guille shows property but low income, looks confused at bank statement."
"Tu primer piso puede ser una carga... o el principio de tu libertad. Todo depende de cómo lo plantees.",Transformation,"Guille holds property key that transforms from heavy weight to wings of freedom."
"¿Te preocupa hipotecarte mal? No es el piso lo que arruina, es la estrategia detrás.",Problem-Solution,"Guille worried about mortgage papers, then reveals strategy document."
